session_id,frame_id,timestamp_ms,stagger_mm,diameter_mm,confidence,anomaly_types,anomaly_severities
20260309T100953_4da63b,257,4283.333,,,0.0000,,
20260309T100953_4da63b,258,4300.000,,,0.0000,,
20260309T100953_4da63b,259,4316.667,,,0.0000,,
20260309T100953_4da63b,260,4333.333,,,0.0000,,
20260309T100953_4da63b,261,4350.000,,,0.0000,,
20260309T100953_4da63b,262,4366.667,,,0.0000,,
20260309T100953_4da63b,263,4383.333,,,0.0000,,
20260309T100953_4da63b,264,4400.000,,,0.0000,,
20260309T100953_4da63b,265,4416.667,,,0.0000,,
20260309T100953_4da63b,266,4433.333,,,0.0000,,
20260309T100953_4da63b,267,4450.000,,,0.0000,,
20260309T100953_4da63b,268,4466.667,,,0.0000,,
20260309T100953_4da63b,269,4483.333,,,0.0000,,
20260309T100953_4da63b,270,4500.000,,,0.0000,,
20260309T100953_4da63b,271,4516.667,,,0.0000,,
20260309T100953_4da63b,272,4533.333,,,0.0000,,
20260309T100953_4da63b,273,4550.000,,,0.0000,,
20260309T100953_4da63b,274,4566.667,,,0.0000,,
20260309T100953_4da63b,275,4583.333,,,0.0000,,
20260309T100953_4da63b,276,4600.000,,,0.0000,,
20260309T100953_4da63b,277,4616.667,,,0.0000,,
20260309T100953_4da63b,278,4633.333,,,0.0000,,
20260309T100953_4da63b,279,4650.000,,,0.0000,,
20260309T100953_4da63b,280,4666.667,,,0.0000,,
20260309T100953_4da63b,281,4683.333,,,0.0000,,
20260309T100953_4da63b,282,4700.000,,,0.0000,,
20260309T100953_4da63b,283,4716.667,,,0.0000,,
20260309T100953_4da63b,284,4733.333,,,0.0000,,
20260309T100953_4da63b,285,4750.000,,,0.0000,,
20260309T100953_4da63b,286,4766.667,,,0.0000,,
20260309T100953_4da63b,287,4783.333,,,0.0000,,
20260309T100953_4da63b,288,4800.000,,,0.0000,,
20260309T100953_4da63b,289,4816.667,,,0.0000,,
20260309T100953_4da63b,290,4833.333,,,0.0000,,
20260309T100953_4da63b,291,4850.000,,,0.0000,,
20260309T100953_4da63b,292,4866.667,,,0.0000,,
20260309T100953_4da63b,293,4883.333,,,0.0000,,
20260309T100953_4da63b,294,4900.000,,,0.0000,,
20260309T100953_4da63b,295,4916.667,,,0.0000,,
20260309T100953_4da63b,296,4933.333,,,0.0000,,
20260309T100953_4da63b,297,4950.000,,,0.0000,,
20260309T100953_4da63b,298,4966.667,,,0.0000,,
20260309T100953_4da63b,299,4983.333,,,0.0000,,
20260309T100953_4da63b,300,5000.000,,,0.0000,,
20260309T100953_4da63b,301,5016.667,,,0.0000,,
20260309T100953_4da63b,302,5033.333,,,0.0000,,
20260309T100953_4da63b,303,5050.000,,,0.0000,,
20260309T100953_4da63b,304,5066.667,,,0.0000,,
20260309T100953_4da63b,305,5083.333,,,0.0000,,
20260309T100953_4da63b,306,5100.000,,,0.0000,,
20260309T100953_4da63b,307,5116.667,,,0.0000,,
20260309T100953_4da63b,308,5133.333,,,0.0000,,
20260309T100953_4da63b,309,5150.000,,,0.0000,,
20260309T100953_4da63b,310,5166.667,,,0.0000,,
20260309T100953_4da63b,311,5183.333,,,0.0000,,
20260309T100953_4da63b,312,5200.000,,,0.0000,,
20260309T100953_4da63b,313,5216.667,,,0.0000,,
20260309T100953_4da63b,314,5233.333,,,0.0000,,
20260309T100953_4da63b,315,5250.000,,,0.0000,,
20260309T100953_4da63b,316,5266.667,,,0.0000,,
20260309T100953_4da63b,317,5283.333,,,0.0000,,
20260309T100953_4da63b,318,5300.000,,,0.0000,,
20260309T100953_4da63b,319,5316.667,,,0.0000,,
20260309T100953_4da63b,320,5333.333,,,0.0000,,
20260309T100953_4da63b,321,5350.000,,,0.0000,,
20260309T100953_4da63b,322,5366.667,,,0.0000,,
20260309T100953_4da63b,323,5383.333,,,0.0000,,
20260309T100953_4da63b,324,5400.000,,,0.0000,,
20260309T100953_4da63b,325,5416.667,,,0.0000,,
20260309T100953_4da63b,326,5433.333,,,0.0000,,
20260309T100953_4da63b,327,5450.000,,,0.0000,,
20260309T100953_4da63b,328,5466.667,,,0.0000,,
20260309T100953_4da63b,329,5483.333,,,0.0000,,
20260309T100953_4da63b,330,5500.000,,,0.0000,,
20260309T100953_4da63b,331,5516.667,,,0.0000,,
20260309T100953_4da63b,332,5533.333,,,0.0000,,
20260309T100953_4da63b,333,5550.000,,,0.0000,,
20260309T100953_4da63b,334,5566.667,,,0.0000,,
20260309T100953_4da63b,335,5583.333,,,0.0000,,
20260309T100953_4da63b,336,5600.000,,,0.0000,,
20260309T100953_4da63b,337,5616.667,,,0.0000,,
20260309T100953_4da63b,338,5633.333,,,0.0000,,
20260309T100953_4da63b,339,5650.000,,,0.0000,,
20260309T100953_4da63b,340,5666.667,,,0.0000,,
20260309T100953_4da63b,341,5683.333,,,0.0000,,
20260309T100953_4da63b,342,5700.000,,,0.0000,,
20260309T100953_4da63b,343,5716.667,,,0.0000,,
20260309T100953_4da63b,344,5733.333,,,0.0000,,
20260309T100953_4da63b,345,5750.000,,,0.0000,,
20260309T100953_4da63b,346,5766.667,,,0.0000,,
20260309T100953_4da63b,347,5783.333,,,0.0000,,
20260309T100953_4da63b,348,5800.000,,,0.0000,,
20260309T100953_4da63b,349,5816.667,,,0.0000,,
20260309T100953_4da63b,350,5833.333,,,0.0000,,
20260309T100953_4da63b,351,5850.000,,,0.0000,,
20260309T100953_4da63b,352,5866.667,,,0.0000,,
20260309T100953_4da63b,353,5883.333,,,0.0000,,
20260309T100953_4da63b,354,5900.000,,,0.0000,,
20260309T100953_4da63b,355,5916.667,,,0.0000,,
20260309T100953_4da63b,356,5933.333,,,0.0000,,
